away_team,home_team,week,day_of_week,Date,start_time,Bye Week
Steelers,Patriots,1,Thursday,September 10th,8:30 PM ET ,BYE WEEK: No teams on bye Flexible scheduling procedures  
Packers,Bears,1,Sunday,September 13th,1:00 PM ET ,
Chiefs,Texans,1,Sunday,September 13th,1:00 PM ET ,
Browns,Jets,1,Sunday,September 13th,1:00 PM ET ,
Colts,Bills,1,Sunday,September 13th,1:00 PM ET ,
Dolphins,Redskins,1,Sunday,September 13th,1:00 PM ET ,
Panthers,Jaguars,1,Sunday,September 13th,1:00 PM ET ,
Seahawks,Rams,1,Sunday,September 13th,1:00 PM ET ,
Saints,Cardinals,1,Sunday,September 13th,4:05 PM ET ,
Lions,Chargers,1,Sunday,September 13th,4:05 PM ET ,
Titans,Buccaneers,1,Sunday,September 13th,4:25 PM ET ,
Bengals,Raiders,1,Sunday,September 13th,4:25 PM ET ,
Ravens,Broncos,1,Sunday,September 13th,4:25 PM ET ,
Giants,Cowboys,1,Sunday,September 13th,8:30 PM ET ,
Eagles,Falcons,1,Monday,September 14th,7:10 PM ET ,
Vikings,49ers,1,Monday,September 14th,10:20 PM ET ,
Broncos,Chiefs,2,Thursday,September 17th,8:25 PM ET ,BYE WEEK: No teams on bye Flexible scheduling procedures  
Texans,Panthers,2,Sunday,September 20th,1:00 PM ET ,
49ers,Steelers,2,Sunday,September 20th,1:00 PM ET ,
Buccaneers,Saints,2,Sunday,September 20th,1:00 PM ET ,
Lions,Vikings,2,Sunday,September 20th,1:00 PM ET ,
Cardinals,Bears,2,Sunday,September 20th,1:00 PM ET ,
Patriots,Bills,2,Sunday,September 20th,1:00 PM ET ,
Chargers,Bengals,2,Sunday,September 20th,1:00 PM ET ,
Titans,Browns,2,Sunday,September 20th,1:00 PM ET ,
Falcons,Giants,2,Sunday,September 20th,1:00 PM ET ,
Rams,Redskins,2,Sunday,September 20th,1:00 PM ET ,
Dolphins,Jaguars,2,Sunday,September 20th,4:05 PM ET ,
Ravens,Raiders,2,Sunday,September 20th,4:05 PM ET ,
Cowboys,Eagles,2,Sunday,September 20th,4:25 PM ET ,
Seahawks,Packers,2,Sunday,September 20th,8:30 PM ET ,
Jets,Colts,2,Monday,September 21st,8:30 PM ET ,
Redskins,Giants,3,Thursday,September 24th,8:25 PM ET ,BYE WEEK: No teams on bye Flexible scheduling procedures  
Falcons,Cowboys,3,Sunday,September 27th,1:00 PM ET ,
Colts,Titans,3,Sunday,September 27th,1:00 PM ET ,
Raiders,Browns,3,Sunday,September 27th,1:00 PM ET ,
Bengals,Ravens,3,Sunday,September 27th,1:00 PM ET ,
Jaguars,Patriots,3,Sunday,September 27th,1:00 PM ET ,
Saints,Panthers,3,Sunday,September 27th,1:00 PM ET ,
Eagles,Jets,3,Sunday,September 27th,1:00 PM ET ,
Buccaneers,Texans,3,Sunday,September 27th,1:00 PM ET ,
Chargers,Vikings,3,Sunday,September 27th,1:00 PM ET ,
Steelers,Rams,3,Sunday,September 27th,1:00 PM ET ,
49ers,Cardinals,3,Sunday,September 27th,4:05 PM ET ,
Bills,Dolphins,3,Sunday,September 27th,4:25 PM ET ,
Bears,Seahawks,3,Sunday,September 27th,4:25 PM ET ,
Broncos,Lions,3,Sunday,September 27th,8:30 PM ET ,
Chiefs,Packers,3,Monday,September 28th,8:30 PM ET ,
Ravens,Steelers,4,Thursday,October 01st,8:25 PM ET ,"BYE WEEK:  Patriots, Titans Flexible scheduling procedures  "
Jets,Dolphins,4,Sunday,October 04th,9:30 AM ET ,
Jaguars,Colts,4,Sunday,October 04th,1:00 PM ET ,
Giants,Bills,4,Sunday,October 04th,1:00 PM ET ,
Panthers,Buccaneers,4,Sunday,October 04th,1:00 PM ET ,
Eagles,Redskins,4,Sunday,October 04th,1:00 PM ET ,
